	Astrocyte	Excitatory	Inhibitory	Oligodendrocyte	Microglia	OPC	unknown	Endothelial
22101842	0.47908965	0.062757865	0.1672524	0.15559879	0.0	0.0	0.06926698	0.066034295
22776575	0.4666504	0.03494446	0.14258465	0.17494005	0.0	0.021246187	0.07740574	0.08222856
22868024	0.49405608	0.025012808	0.1418495	0.16839874	0.0	0.019512687	0.07132948	0.07984072
23004922	0.4444969	0.023709448	0.1373494	0.19743055	0.0	0.020272078	0.08220802	0.09453355
24039289	0.4924836	0.012154403	0.13568129	0.18961035	0.0	0.027453415	0.067805625	0.07481125
24310553	0.4856255	0.027746202	0.1494152	0.17289695	0.0	0.010946633	0.07533763	0.07803194
2525608	0.43150795	0.04861179	0.1588656	0.1970606	0.0	0.013477299	0.081835926	0.06864081
25300551	0.47932318	0.03555603	0.15498796	0.17638727	0.0	0.0065392293	0.07164456	0.07556173
25580771	0.4318158	0.008675521	0.13054197	0.19474114	0.018843492	0.013593482	0.08304463	0.11874392
27313862	0.4636991	0.031094734	0.14646433	0.2025491	0.0	0.021257067	0.06696267	0.067973
2899847	0.44587457	0.046044726	0.14262165	0.1787376	0.0	0.013884011	0.0761683	0.09666927
29933130	0.47874075	0.03354076	0.15105362	0.18942414	0.0	0.017957143	0.06497869	0.06430499
30819298	0.46494165	0.004276058	0.12322199	0.20915748	0.0	0.035850845	0.074080236	0.08847177
31509843	0.47195452	0.0133711565	0.13933347	0.212216	0.0	0.015174534	0.06300095	0.08494927
31756046	0.49299157	0.014459554	0.13825022	0.17773125	0.0	0.02236559	0.07356752	0.08063432
31908032	0.5062734	0.013970405	0.14604147	0.17392473	0.0	0.012744557	0.06791845	0.07912699
32971269	0.49381253	0.0228267	0.15375839	0.1800303	0.0	0.0097233225	0.071186505	0.06866215
33411712	0.5248133	0.007793127	0.14222063	0.15663493	0.002038145	0.014184556	0.07001004	0.08230527
33477756	0.4662357	0.051301997	0.15716922	0.15714402	0.0	0.018122293	0.07716905	0.07285775
34962204	0.44344065	0.0515761	0.14915936	0.17580889	0.0	0.019084115	0.07799175	0.08293916
35286551	0.4884703	0.040583603	0.14274599	0.1396666	0.0	0.032644767	0.08236268	0.073526114
35941263	0.44186562	0.022134166	0.14046249	0.217453	0.0	0.022097379	0.07665033	0.07933698
36379623	0.48621574	0.010204491	0.14469847	0.1580056	0.020339536	0.0	0.08460416	0.09593197
36492755	0.41277224	0.057307016	0.1535263	0.19347447	0.0	0.018382153	0.08491244	0.07962535
36830117	0.39084148	0.010348909	0.1467084	0.29540136	0.0	0.017295457	0.06660144	0.07280295
37065652	0.4242835	0.051638886	0.14382502	0.17769966	0.0	0.023710348	0.08762138	0.09122124
3713990	0.42744502	0.049808986	0.16049317	0.18710552	0.0	0.0116924755	0.090144984	0.07330981
37178462	0.4088741	0.06869685	0.16726583	0.21412085	0.0	0.0129498	0.07117899	0.056913596
37527863	0.4960267	0.0	0.14130855	0.19406421	0.005887874	0.012607179	0.07383825	0.076267295
39316600	0.4801131	0.024167452	0.14850117	0.18691082	0.0	0.01144726	0.07024946	0.07861083
39484737	0.44937146	0.04103454	0.1524423	0.18270235	0.0	0.018439885	0.08172736	0.074282125
39989287	0.4788268	0.02490744	0.13850127	0.17515664	0.0	0.02266692	0.074448645	0.08549232
43074402	0.4546101	0.04158202	0.15186855	0.18441254	0.0	0.021025456	0.0774793	0.06902203
43485807	0.4714153	0.060252633	0.15729065	0.15197703	0.0	0.01743295	0.07484117	0.06679032
44019405	0.45836985	0.02063514	0.1384933	0.19568802	0.0	0.024226667	0.07364221	0.08894479
44299049	0.43228167	0.038620748	0.14479066	0.17610052	0.0012605774	0.030059295	0.09377481	0.083111666
45115248	0.43171105	0.024755767	0.14159667	0.19503179	0.005192971	0.02073067	0.087948926	0.093032114
45566083	0.44735986	0.0016570498	0.13576372	0.19450521	0.024414744	0.010305379	0.08577674	0.10021729
45800230	0.41163975	0.0482765	0.15987255	0.22109875	0.0	0.014934216	0.08255978	0.061618503
46000440	0.440662	0.080248214	0.17737538	0.18438157	0.0	0.0	0.06555904	0.051773813
46246604	0.4702841	0.04157618	0.16090286	0.17151178	0.010235201	0.0	0.067158826	0.07833106
46251007	0.41267496	0.07901284	0.15935588	0.18191907	0.0	0.025641352	0.078334376	0.06306154
46369736	0.45699948	0.05707456	0.14943652	0.15359937	0.0	0.021951146	0.080372594	0.08056632
482428	0.4564998	0.04553872	0.1562852	0.1746681	0.0	0.009750184	0.07687904	0.08037896
4879843	0.42556056	0.033035345	0.15476128	0.23751383	0.0	0.0047925906	0.06698026	0.07735607
50100482	0.45512953	0.011535899	0.13541092	0.17969185	0.021100376	0.028943226	0.07662442	0.09156383
50100518	0.3798436	0.055748645	0.15479127	0.22451171	0.0	0.00939217	0.08059174	0.09512096
50100770	0.4845753	0.0	0.13128603	0.20749192	0.0	0.026663516	0.06729978	0.082683444
50100806	0.471223	0.042362858	0.14843428	0.15876348	0.0	0.024246875	0.0768107	0.07815891
50100932	0.42462367	0.03743555	0.15029235	0.18106633	0.006401011	0.0011323418	0.09594039	0.10310831
50101073	0.4849834	0.037975587	0.15090793	0.16016471	0.0	0.01846655	0.07309985	0.07440196
50101523	0.37044215	0.071894936	0.15542716	0.18022418	0.006572587	0.008133833	0.10231683	0.104988344
50101659	0.43972152	0.07375748	0.17047547	0.19115244	0.0	0.0031654353	0.06711765	0.05461008
50101785	0.4426349	0.05087461	0.16236335	0.19270195	0.0	0.013138406	0.07332321	0.06496349
50102088	0.49193102	0.0063615567	0.13962203	0.18492624	0.0	0.02089714	0.07656339	0.07969853
50102240	0.49049637	0.021007525	0.14819744	0.17934105	0.0	0.014396432	0.07607679	0.07048436
50102376	0.38537624	0.085442595	0.17915893	0.15926585	0.021501392	0.0	0.08838154	0.08087351
50102952	0.44966835	0.055076953	0.16325548	0.17028558	0.0	0.0	0.083608516	0.078105144
50103129	0.45981804	0.07050936	0.17167014	0.15393801	0.0	0.00033361703	0.0776163	0.06611448
50104008	0.47517955	0.03651524	0.15898618	0.17147656	0.003858221	0.0047880146	0.07416703	0.07502924
50104134	0.47798762	0.01201573	0.13636465	0.20126298	0.0	0.021992339	0.07189071	0.078485966
50104684	0.42418668	0.067178786	0.16505162	0.18808308	0.0	0.0131111825	0.08333652	0.059052113
50104846	0.49714223	0.026450709	0.15655066	0.17724696	0.0	0.0022891813	0.06882436	0.0714959
50105437	0.4478566	0.056003507	0.16425738	0.19311455	0.0	0.0054511265	0.06863172	0.06468512
50105699	0.47068003	0.014748551	0.1449271	0.18820356	0.0072752233	0.014268453	0.07533418	0.084562935
50105725	0.48469165	0.050393503	0.16267714	0.170958	0.0	0.010597912	0.06444901	0.05623283
